GEO_ID,NAME,B05002_001E,B05002_002E,B05002_013E,B05002_013M,B05002_014E,B05002_014M,B05002_021E,B05002_021M
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!Native,Estimate!!Total!!Foreign born,Margin of Error!!Total!!Foreign born,Estimate!!Total!!Foreign born!!Naturalized U.S. citizen,Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen,Estimate!!Total!!Foreign born!!Not a U.S. citizen,Margin of Error!!Total!!Foreign born!!Not a U.S. citizen
0500000US08101,"Pueblo County, Colorado",167529,161690,5839,1585,2548,999,3291,1140
0500000US08005,"Arapahoe County, Colorado",651215,555232,95983,6325,42572,4324,53411,5638
0500000US08069,"Larimer County, Colorado",350518,328402,22116,2963,8849,1881,13267,2562
0500000US08077,"Mesa County, Colorado",153207,146072,7135,1817,3383,1060,3752,1552
0500000US08041,"El Paso County, Colorado",713856,662891,50965,4666,26665,3008,24300,3435
0500000US08123,"Weld County, Colorado",314305,288405,25900,3388,11801,2369,14099,2750
0500000US08013,"Boulder County, Colorado",326078,292834,33244,2633,15348,2177,17896,2183
0500000US08059,"Jefferson County, Colorado",580233,542627,37606,3630,21167,2682,16439,2702
0500000US08014,"Broomfield County, Colorado",69267,61446,7821,2093,3980,1339,3841,1721
0500000US08001,"Adams County, Colorado",511868,430939,80929,6236,32481,3767,48448,5143
0500000US08031,"Denver County, Colorado",716492,614546,101946,6676,43612,4630,58334,5931
0500000US08035,"Douglas County, Colorado",342776,318670,24106,2523,13214,1949,10892,2118