"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Northern America"
"0500000US08001","Adams County, Colorado","471206","*****","400256","2010","243654","3251","152035","2723","16029","1087","56175","1641","32329","1622","47502","1711","4567","564","352","162","157","98","4058","502","70950","2010","21646","1258","3117","406","6472","580","1457","391","91","68","10333","871","176","82","49304","1940","1555","331","4951","474","1253","387","82","58","41153","1885","310","123"
"0500000US08003","Alamosa County, Colorado","16269","*****","15106","289","9725","511","5259","470","346","125","1494","291","1004","240","2415","366","122","68","29","36","8","16","85","50","1163","289","226","121","23","26","5","17","2","6","0","18","196","125","0","18","937","326","19","23","58","30","0","18","0","18","844","318","16","20"
"0500000US08005","Arapahoe County, Colorado","608310","*****","518346","2610","242632","3411","265559","3397","36112","1227","98232","2007","59132","2076","72083","2347","10155","772","965","267","233","127","8957","741","89964","2610","37683","1433","7397","681","15015","722","5772","636","177","82","8363","689","959","219","52281","2174","4324","549","12538","992","6013","750","278","185","28057","1535","1071","275"
"0500000US08007","Archuleta County, Colorado","12174","*****","11532","200","3159","352","8267","379","1287","271","2067","307","2044","275","2869","398","106","71","0","18","0","18","106","71","642","200","303","108","134","46","27","40","16","25","4","6","66","54","56","70","339","148","79","80","16","29","7","12","0","18","208","122","29","25"
"0500000US08009","Baca County, Colorado","3701","*****","3606","35","1934","109","1667","108","55","28","797","91","501","65","314","63","5","7","0","11","0","11","5","7","95","35","38","27","3","4","0","11","14","19","0","11","18","15","3","4","57","24","0","11","3","5","0","11","0","11","54","24","0","11"
"0500000US08011","Bent County, Colorado","5895","*****","5483","169","3164","264","2292","259","174","70","722","165","594","156","802","136","27","38","8","10","0","16","19","36","412","169","84","64","29","31","29","50","0","16","0","16","26","24","0","16","328","160","7","10","21","20","0","16","0","16","300","161","0","16"
"0500000US08013","Boulder County, Colorado","310032","*****","276953","1095","101602","1776","170555","1838","38544","1532","58302","1511","33654","1361","40055","1375","4796","599","525","239","179","107","4092","516","33079","1095","13154","725","3593","432","4628","430","456","141","90","49","3685","474","702","173","19925","1103","3521","484","5434","428","273","166","228","96","9905","913","564","149"
"0500000US08014","Broomfield County, Colorado","60699","*****","54918","539","24041","889","30168","908","5168","498","11366","628","5452","601","8182","746","709","196","35","47","0","27","674","196","5781","539","2940","349","615","159","1494","238","79","69","11","19","558","144","183","91","2841","484","464","152","1006","232","7","11","37","38","1200","405","127","80"
"0500000US08015","Chaffee County, Colorado","18309","*****","17827","120","6867","395","10706","396","1507","284","4295","391","2437","336","2467","363","254","107","0","18","0","18","254","107","482","120","234","105","95","63","31","40","0","18","0","18","80","59","28","30","248","98","71","41","1","4","0","18","0","18","157","96","19","22"
"0500000US08017","Cheyenne County, Colorado","2002","144","1895","150","1343","144","542","69","38","20","242","43","135","39","127","36","10","8","0","11","0","11","10","8","107","46","31","25","2","2","26","24","0","11","0","11","3","5","0","11","76","42","6","9","0","11","0","11","0","11","70","40","0","11"
"0500000US08019","Clear Creek County, Colorado","9136","*****","8807","177","3437","359","5207","315","794","220","2141","277","1199","183","1073","203","163","99","0","16","0","16","163","99","329","177","139","89","73","72","50","38","0","16","0","16","6","11","10","16","190","142","93","113","4","9","0","16","6","9","87","88","0","16"
"0500000US08021","Conejos County, Colorado","8249","*****","7983","96","6576","187","1378","170","67","38","258","70","247","74","806","128","29","19","4","7","8","13","17","12","266","96","98","58","6","7","0","16","0","16","0","16","90","57","2","3","168","62","3","5","14","20","0","16","0","16","150","63","1","2"
"0500000US08023","Costilla County, Colorado","3581","*****","3320","82","2200","120","1116","133","124","57","237","69","211","78","544","115","4","6","0","11","0","11","4","6","261","82","79","29","39","23","0","11","0","11","4","6","31","17","5","7","182","76","21","22","0","11","0","11","0","11","161","74","0","11"
"0500000US08025","Crowley County, Colorado","5551","*****","5337","88","3524","224","1760","204","122","65","660","118","467","156","511","107","53","28","0","16","0","16","53","28","214","88","17","16","0","16","10","12","0","16","0","16","5","10","2","4","197","85","1","5","6","11","0","16","2","6","186","83","2","5"
"0500000US08027","Custer County, Colorado","4303","*****","4218","52","1590","286","2596","292","428","161","1108","208","626","165","434","108","32","28","0","11","0","11","32","28","85","52","35","28","13","20","18","22","0","11","0","11","4","6","0","11","50","46","30","33","0","11","0","11","0","11","20","31","0","11"
"0500000US08029","Delta County, Colorado","30214","*****","28980","225","15875","700","12882","693","1346","255","3975","457","2644","389","4917","401","223","77","0","21","11","18","212","78","1234","225","453","133","95","54","108","42","7","11","0","21","236","112","7","10","781","214","48","44","25","28","0","21","0","21","695","205","13","16"
"0500000US08031","Denver County, Colorado","649654","*****","545284","2431","269259","3239","267706","2882","43958","1596","95474","2084","64916","1997","63358","1773","8319","630","753","218","147","72","7419","578","104370","2431","33820","1389","5702","577","8737","564","4115","625","193","118","14227","1103","846","201","70550","2227","3567","584","9706","824","4292","762","356","163","51705","1876","924","228"
"0500000US08033","Dolores County, Colorado","1862","144","1842","145","924","108","893","124","96","48","156","39","70","31","571","102","25","20","20","18","0","11","5","7","20","17","15","16","5","5","0","11","0","11","0","11","10","15","0","11","5","7","5","7","0","11","0","11","0","11","0","11","0","11"
"0500000US08035","Douglas County, Colorado","306974","*****","285583","1120","114820","2315","166185","2329","21718","1010","62318","1671","32181","1375","49968","1746","4578","516","366","151","61","39","4151","522","21391","1120","11223","735","2633","424","5406","347","357","139","39","28","2178","386","610","165","10168","923","1641","381","4398","446","447","189","56","43","2922","568","704","209"
"0500000US08037","Eagle County, Colorado","52576","*****","42564","709","17119","768","24647","1010","5260","575","10034","858","3708","660","5645","688","798","257","11","19","43","53","744","249","10012","709","2333","523","656","270","232","85","0","27","59","51","1310","411","76","65","7679","626","775","253","158","94","100","85","67","59","6514","560","65","84"
"0500000US08039","Elbert County, Colorado","23855","*****","22869","292","10989","554","11616","584","1228","193","4708","433","2220","343","3460","395","264","105","8","13","0","21","256","103","986","292","321","110","154","78","28","34","0","21","0","21","100","78","39","38","665","276","311","196","22","24","12","18","0","21","150","91","170","165"
"0500000US08041","El Paso County, Colorado","655024","*****","608218","1803","209815","3559","376698","3532","48976","1776","119548","2493","106767","2457","101407","2819","21705","1070","2541","501","1403","296","17761","1004","46806","1803","24387","1074","7699","591","8738","576","1280","360","113","64","5725","555","832","183","22419","1316","3436","477","3970","514","843","330","460","155","12728","1134","982","273"
"0500000US08043","Fremont County, Colorado","46809","*****","45245","286","20789","851","23895","874","2509","329","8854","623","5822","500","6710","578","561","151","34","46","29","35","498","143","1564","286","645","181","254","94","158","86","0","24","31","61","177","95","25","19","919","264","35","28","144","104","53","52","0","24","685","222","2","4"
"0500000US08045","Garfield County, Colorado","57076","*****","48697","654","24304","931","23883","954","3545","401","7958","736","5100","634","7280","767","510","204","75","121","0","27","435","166","8379","654","1723","325","273","105","244","118","0","27","51","40","1055","261","100","64","6656","669","174","124","74","92","31","49","44","48","6270","632","63","46"
"0500000US08047","Gilpin County, Colorado","5605","*****","5410","132","1843","331","3484","326","655","215","1452","275","841","320","536","184","83","47","12","14","0","16","71","47","195","132","137","115","50","75","8","13","47","74","0","16","32","41","0","16","58","66","37","56","0","16","0","16","0","16","21","31","0","16"
"0500000US08049","Grand County, Colorado","14411","*****","13393","338","5061","613","8219","566","833","263","2985","434","1585","337","2816","462","113","85","0","18","0","18","113","85","1018","338","557","285","406","271","101","83","0","18","0","18","43","46","7","9","461","171","116","106","116","105","3","4","0","18","202","91","24","39"
"0500000US08051","Gunnison County, Colorado","15651","*****","15041","174","6576","472","8069","437","1343","226","2815","429","1955","277","1956","297","396","150","0","18","0","18","396","150","610","174","258","99","49","32","72","40","0","18","0","18","123","74","14","18","352","156","65","39","12","19","0","18","3","4","264","149","8","12"
"0500000US08053","Hinsdale County, Colorado","874","88","865","88","204","52","651","75","54","23","172","47","272","62","153","50","10","11","0","11","0","11","10","11","9","9","9","9","5","7","3","3","1","2","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"0500000US08055","Huerfano County, Colorado","6502","*****","6310","79","3495","252","2732","222","399","102","762","154","801","168","770","170","83","70","0","16","41","56","42","44","192","79","145","74","83","58","24","30","0","16","0","16","23","27","15","21","47","40","7","11","6","10","0","16","0","16","34","36","0","16"
"0500000US08057","Jackson County, Colorado","1335","121","1281","115","611","112","669","98","55","27","262","90","69","32","283","60","1","3","1","3","0","11","0","11","54","47","2","5","2","5","0","11","0","11","0","11","0","11","0","11","52","47","0","11","0","11","0","11","0","11","52","47","0","11"
"0500000US08059","Jefferson County, Colorado","552344","*****","516407","1301","258525","2366","251681","2573","37042","1244","101973","1820","49716","1304","62950","1719","6201","549","583","235","151","92","5467","491","35937","1301","17800","895","5578","639","6453","435","661","200","150","75","4027","445","931","210","18137","1216","3510","599","3744","626","654","240","158","85","9255","999","816","199"
"0500000US08061","Kiowa County, Colorado","1463","121","1434","121","905","103","522","90","26","18","276","67","89","28","131","76","7","11","0","11","0","11","7","11","29","29","2","3","0","11","0","11","0","11","0","11","2","3","0","11","27","29","0","11","0","11","0","11","0","11","23","23","4","6"
"0500000US08063","Kit Carson County, Colorado","7980","*****","7349","90","4658","218","2674","210","135","70","1399","196","588","131","552","137","17","17","0","16","0","16","17","17","631","90","43","31","6","13","2","3","0","16","0","16","32","29","3","4","588","85","12","10","25","21","11","18","0","16","538","79","2","3"
"0500000US08065","Lake County, Colorado","7362","*****","6570","219","3501","323","2848","338","526","185","937","198","564","225","821","206","221","168","0","16","1","3","220","169","792","219","117","99","38","27","0","16","59","94","0","16","20","18","0","16","675","185","0","16","4","8","0","16","32","61","622","176","17","27"
"0500000US08067","La Plata County, Colorado","53182","*****","51171","371","18579","812","32175","771","3530","339","9109","564","6482","659","13054","773","417","124","54","49","6","13","357","115","2011","371","924","189","220","104","252","81","67","68","11","17","326","157","48","34","1087","349","113","67","105","54","66","101","0","27","701","308","102","62"
"0500000US08069","Larimer County, Colorado","318227","*****","301664","1029","127602","1945","170729","2171","21482","1162","70425","1950","30708","1382","48114","1891","3333","372","134","77","38","28","3161","359","16563","1029","6935","631","2144","322","2328","241","351","137","10","14","1798","373","304","126","9628","885","1255","289","2896","459","243","129","138","89","4723","697","373","124"
"0500000US08071","Las Animas County, Colorado","14503","*****","13889","133","8380","379","5380","353","324","74","1437","200","1163","167","2456","308","129","69","0","18","5","9","124","70","614","133","266","74","60","29","8","11","0","18","0","18","188","69","10","13","348","115","16","15","38","23","3","6","18","23","266","110","7","13"
"0500000US08073","Lincoln County, Colorado","5478","*****","5151","110","3127","205","2016","191","121","56","716","116","567","144","612","134","8","10","2","6","0","16","6","8","327","110","15","16","14","16","1","3","0","16","0","16","0","16","0","16","312","108","18","20","4","8","0","16","32","39","254","107","4","7"
"0500000US08075","Logan County, Colorado","21928","*****","20384","546","12849","560","7400","549","299","91","3633","355","1130","289","2338","377","135","138","0","21","8","13","127","138","1544","546","420","154","86","64","189","115","0","21","0","21","137","95","8","12","1124","499","6","13","215","160","9","13","3","6","885","442","6","11"
"0500000US08077","Mesa County, Colorado","147834","*****","142579","729","73617","1612","68088","1596","5651","541","19959","1139","12760","788","29718","1353","874","250","2","3","37","52","835","252","5255","729","2329","410","510","174","593","168","40","33","23","31","1027","267","136","94","2926","574","243","118","217","94","16","19","50","54","2262","533","138","81"
"0500000US08079","Mineral County, Colorado","733","89","726","89","226","54","495","75","66","35","159","41","173","44","97","32","5","8","0","11","0","11","5","8","7","8","7","8","7","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"0500000US08081","Moffat County, Colorado","13117","*****","12326","159","7327","364","4935","342","615","147","1200","177","750","175","2370","269","64","33","0","18","6","9","58","32","791","159","323","123","82","66","6","13","0","18","17","20","216","108","2","3","468","125","9","15","8","12","5","13","0","18","446","124","0","18"
"0500000US08083","Montezuma County, Colorado","25700","*****","24993","184","10911","668","13937","676","1189","228","3176","383","2177","321","7395","616","145","61","0","21","0","21","145","61","707","184","329","126","38","48","66","41","3","6","0","21","222","111","0","21","378","135","135","105","89","56","14","19","0","21","111","67","29","34"
"0500000US08085","Montrose County, Colorado","40815","*****","37883","420","18702","641","18802","599","2096","276","5642","522","4066","551","6998","588","379","150","31","47","76","103","272","116","2932","420","980","236","50","36","204","70","1","4","7","12","680","216","38","37","1952","379","90","65","84","132","0","24","58","76","1663","337","57","62"
"0500000US08087","Morgan County, Colorado","28359","*****","24753","357","16301","657","8135","552","461","120","3572","348","1991","375","2111","280","317","172","18","27","9","9","290","175","3606","357","942","202","119","68","31","30","58","45","0","21","734","181","0","21","2664","384","14","11","142","123","223","113","0","21","2285","376","0","21"
"0500000US08089","Otero County, Colorado","18572","*****","17556","251","12400","548","5077","448","248","98","1774","260","1221","240","1834","283","79","51","10","16","0","18","69","52","1016","251","303","130","36","32","57","33","0","18","0","18","210","117","0","18","713","192","12","13","59","29","15","20","90","72","515","166","22","24"
"0500000US08091","Ouray County, Colorado","4580","*****","4458","48","1042","180","3369","190","473","142","951","159","648","131","1297","208","47","29","0","11","0","11","47","29","122","48","40","24","20","19","0","11","4","7","0","11","11","12","5","7","82","44","52","31","0","11","3","5","0","11","23","31","4","6"
"0500000US08093","Park County, Colorado","16189","*****","15497","290","5054","412","10296","410","1478","235","3959","434","2164","359","2695","365","147","94","0","18","0","18","147","94","692","290","271","119","108","77","89","74","0","18","25","39","12","18","37","32","421","217","141","97","64","82","0","18","0","18","144","135","72","86"
"0500000US08095","Phillips County, Colorado","4371","*****","3979","137","2718","171","1241","152","63","30","722","127","210","73","246","70","20","17","0","11","0","11","20","17","392","137","145","48","6","7","24","22","0","11","0","11","115","41","0","11","247","137","0","11","0","11","0","11","0","11","246","137","1","2"
"0500000US08097","Pitkin County, Colorado","17420","*****","15372","384","4472","517","10777","636","2764","447","3202","453","2214","414","2597","511","123","83","0","18","0","18","123","83","2048","384","649","265","225","97","92","65","42","48","12","16","256","192","22","25","1399","381","236","158","141","141","96","102","157","123","679","248","90","121"
"0500000US08099","Prowers County, Colorado","12235","*****","10893","300","7518","356","3353","288","160","72","1556","248","923","173","714","127","22","17","0","18","0","18","22","17","1342","300","293","119","10","10","36","40","20","37","0","18","217","103","10","15","1049","254","25","26","57","56","6","8","0","18","961","249","0","18"
"0500000US08101","Pueblo County, Colorado","161519","*****","155191","630","104001","1470","49386","1396","4443","431","15408","808","11816","799","17719","776","1804","261","271","129","30","33","1503","245","6328","630","2396","298","583","154","624","139","55","40","3","5","1050","243","81","49","3932","567","374","161","276","116","27","24","11","19","3154","518","90","47"
"0500000US08103","Rio Blanco County, Colorado","6712","*****","6408","90","3415","253","2975","253","207","105","696","119","673","138","1399","215","18","20","0","16","14","18","4","7","304","90","145","69","19","17","6","13","6","13","42","59","72","36","0","16","159","63","0","16","0","16","0","16","0","16","159","63","0","16"
"0500000US08105","Rio Grande County, Colorado","11745","*****","10915","238","6941","352","3831","295","235","78","1107","194","1150","234","1339","236","143","125","8","20","0","18","135","123","830","238","409","188","73","63","4","7","3","6","0","18","324","182","5","9","421","158","11","16","0","18","0","18","0","18","410","158","0","18"
"0500000US08107","Routt County, Colorado","23606","*****","22236","407","8647","446","13245","534","3691","471","4160","436","2272","264","3122","437","344","108","4","8","37","34","303","105","1370","407","449","200","182","110","94","74","19","25","35","37","110","119","9","16","921","370","356","330","39","58","7","11","16","17","391","152","112","76"
"0500000US08109","Saguache County, Colorado","6238","*****","5518","122","3016","276","2476","238","474","116","834","152","513","124","655","131","26","23","0","16","0","16","26","23","720","122","227","82","43","28","66","56","0","16","0","16","118","50","0","16","493","107","29","31","0","16","3","5","17","24","430","92","14","14"
"0500000US08111","San Juan County, Colorado","606","92","594","90","212","48","382","86","52","28","137","61","74","38","119","48","0","11","0","11","0","11","0","11","12","13","3","4","0","11","0","11","0","11","3","4","0","11","0","11","9","12","0","11","0","11","0","11","0","11","9","12","0","11"
"0500000US08113","San Miguel County, Colorado","7676","*****","7123","118","2054","234","4979","275","1106","204","1547","175","1062","240","1264","247","90","58","0","16","0","16","90","58","553","118","207","75","83","47","17","19","0","16","0","16","93","51","14","13","346","93","36","28","16","19","0","16","28","33","247","70","19","25"
"0500000US08115","Sedgwick County, Colorado","2365","*****","2276","42","1347","88","919","84","47","22","599","88","143","44","130","34","10","9","4","6","0","11","6","6","89","42","32","21","13","15","7","6","0","11","0","11","12","13","0","11","57","38","3","5","7","10","0","11","0","11","47","37","0","11"
"0500000US08117","Summit County, Colorado","28940","*****","25530","634","7748","663","17410","674","3936","584","7235","787","3458","660","2781","481","372","163","56","77","1","2","315","137","3410","634","1060","333","257","143","197","121","172","154","35","30","244","149","155","125","2350","473","124","64","48","85","5","12","46","54","2111","458","16","26"
"0500000US08119","Teller County, Colorado","23340","*****","22715","155","7311","586","15079","570","1845","332","6312","588","3251","412","3671","489","325","115","12","18","0","21","313","116","625","155","397","127","226","104","114","33","0","21","0","21","39","42","18","26","228","106","73","55","46","62","0","21","0","21","100","64","9","10"
"0500000US08121","Washington County, Colorado","4795","*****","4641","63","3284","146","1310","148","59","23","600","81","167","60","484","132","47","24","5","7","2","4","40","23","154","63","50","29","9","7","9","15","0","11","0","11","32","21","0","11","104","59","7","7","7","11","2","4","0","11","82","51","6","9"
"0500000US08123","Weld County, Colorado","270948","*****","248650","1228","145359","1999","100601","2043","10565","725","38425","1326","21490","1171","30121","1415","2690","404","147","107","28","36","2515","406","22298","1228","8060","663","736","154","1327","180","195","95","21","23","5647","611","134","55","14238","1014","553","194","1120","250","436","128","53","43","11697","834","379","166"
"0500000US08125","Yuma County, Colorado","10185","*****","9134","227","6111","409","2977","348","170","74","1388","284","505","194","914","263","46","54","0","18","0","18","46","54","1051","227","239","109","43","44","28","33","0","18","0","18","168","95","0","18","812","216","5","8","4","6","0","18","0","18","784","210","19","28"
