GEO_ID,NAME,S0501_C01_001E,S0501_C02_001E,S0501_C03_001E,S0501_C04_001E,S0501_C05_001E,S0501_C01_033E,S0501_C02_033E,S0501_C03_033E,S0501_C04_033E,S0501_C05_033E,S0501_C01_035E,S0501_C02_035E,S0501_C03_035E,S0501_C03_035M,S0501_C04_035E,S0501_C04_035M,S0501_C05_035E,S0501_C05_035M,S0501_C01_036E,S0501_C02_036E,S0501_C03_036E,S0501_C03_036M,S0501_C04_036E,S0501_C04_036M,S0501_C05_036E,S0501_C05_036M
id,Geographic Area Name,Total population,Born in US,Foreign born total,FB/citizen,FB/not citizen,Total age 3 & up in school,Native born/3 & up in school,FB Total/3 & up in school,FB/citizen/ 3&up in School,FB/not citizen/3&up in school,% Total 3&up K-8,% Native born 3&up K-8,% Foreign born 3&up K-8,MOE % Foreign born 3&up K-8,% FB Citizen 3&up K-8,MOE % FB Citizen 3&up K-8,% FB NOT Citizen 3&up K-8,MOE % FB NOT Citizen 3&up K-8,% Total 3&up in high school,% Native born 3&up in high school,%Foreign born 3&up in high school,MOE %Foreign born 3&up in high school,%FB citizen 3&up in high school,MOE %FB citizen 3&up in high school,%FB NOT citizen 3&up in high school,MOE %FB NOT citizen 3&up in high school
0500000US08041,"El Paso County, Colorado",674826,628411,46415,23991,22424,188652,182294,6358,3321,3037,44.4,45.1,22.9,3.7,22.2,4.9,23.8,5.9,19.7,19.7,21.3,3.9,17,4,26,6.7
0500000US08005,"Arapahoe County, Colorado",626612,533523,93089,39874,53215,161469,147512,13957,4787,9170,47.9,49.7,29.1,2.7,18.2,3.4,34.8,3.5,21.6,21.5,22.4,2.2,22.4,3.7,22.4,3
0500000US08123,"Weld County, Colorado",285729,260638,25091,8493,16598,79916,76881,3035,890,2145,49.7,50.4,31.1,6.3,26.5,10.1,33.1,8.4,19,18.7,25.4,6.3,22.6,8.7,26.5,8.2
0500000US08001,"Adams County, Colorado",487850,413382,74468,23116,51352,129656,121342,8314,1893,6421,52.8,54.1,33.5,4,22.2,6.7,36.9,5,22.9,22.4,30.3,4,21.3,6.9,33,4.9
0500000US08035,"Douglas County, Colorado",320940,297753,23187,12609,10578,93714,90447,3267,1625,1642,51.2,51.7,35.7,5.7,34.6,6.9,36.8,9.5,22.9,23,21.8,4.6,19.6,6.5,23.9,5.9
0500000US08037,"Eagle County, Colorado",53726,44240,9486,2267,7219,12210,11424,786,233,553,51.8,54,20.6,9.8,20.2,14.4,20.8,12.8,23.2,21.6,45.5,12.5,53.2,23.4,42.3,16.2
0500000US08069,"Larimer County, Colorado",330976,313184,17792,7895,9897,95048,90694,4354,1113,3241,36.3,37.3,15.9,4.5,22.1,8.7,13.8,5.6,15.5,15.5,15.1,3.5,23.9,7.2,12.1,4.6
0500000US08013,"Boulder County, Colorado",316782,282635,34147,14507,19640,96142,88800,7342,2142,5200,34.5,35.8,18.1,4.1,23.1,6.9,16,5,15.6,15.4,18.2,3.4,19.4,6.8,17.7,4
0500000US08031,"Denver County, Colorado",678467,571326,107141,37228,69913,154790,140616,14174,4732,9442,44.2,45.9,27.8,3.2,22.8,5.8,30.2,4,15.6,15,21.8,2.5,12.5,3.5,26.5,3.6
0500000US08045,"Garfield County, Colorado",57945,49259,8686,2041,6645,14438,13306,1132,263,869,53.3,56,21.9,10.6,41.8,26,15.9,11,23.6,22.1,41.8,14.2,11.8,11.1,50.9,18.7
0500000US08059,"Jefferson County, Colorado",564029,526339,37690,19088,18602,131604,126131,5473,2417,3056,44.4,45.4,21.5,4.5,22.5,5,20.7,7.8,21.8,21.7,22.7,4.6,20.1,4.8,24.7,7.2