state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Colorado,Denver,Burma,371,358,381,249,299,274,368,247,62,24,250,-90.4
Colorado,Denver,Iraq,179,222,53,127,234,290,186,171,69,1,190,-99.47
Colorado,Denver,Somalia,182,156,77,79,238,228,117,64,113,6,152,-96.05
Colorado,Denver,Bhutan,463,445,462,339,174,151,146,146,64,11,136.2,-91.92
Colorado,Denver,Dem. Rep. Congo,24,219,36,54,70,141,177,121,116,42,125,-66.4
Colorado,Greeley,Burma,0,17,35,37,76,93,143,182,77,62,114.2,-45.71
Colorado,Aurora,Burma,16,12,59,83,86,67,83,72,24,1,66.4,-98.49
Colorado,Denver,Eritrea,65,96,94,28,68,66,26,53,50,34,52.6,-35.36
Colorado,Greeley,Somalia,22,9,21,29,30,46,51,70,22,0,43.8,-100
Colorado,Colorado Springs,Iraq,16,18,11,14,41,60,64,23,17,3,41,-92.68
Colorado,Aurora,Bhutan,54,66,69,159,70,65,34,24,3,7,39.2,-82.14
Colorado,Denver,Syria,0,0,0,0,3,0,5,115,69,0,38.4,-100
Colorado,Denver,Ethiopia,34,43,44,27,52,42,16,27,14,10,30.2,-66.89
Colorado,Denver,Sudan,13,15,13,18,51,42,18,6,1,0,23.6,-100
Colorado,Denver,Ukraine,2,1,7,0,7,5,38,26,27,8,20.6,-61.17
Colorado,Colorado Springs,Dem. Rep. Congo,0,6,0,0,3,3,21,52,22,27,20.2,33.66
Colorado,Denver,Afghanistan,1,1,1,0,9,9,18,14,42,14,18.4,-23.91
Colorado,Aurora,Iraq,3,4,0,1,9,33,30,8,8,0,17.6,-100
Colorado,Denver,Central African Republic,0,0,14,14,22,0,14,48,2,6,17.2,-65.12
Colorado,Denver,Iran,3,11,11,6,18,7,5,15,15,0,12,-100
Colorado,Greeley,Iraq,0,5,7,5,23,29,5,1,0,0,11.6,-100
Colorado,Lakewood,Somalia,0,0,0,0,1,0,0,0,55,0,11.2,-100
Colorado,Lakewood,Syria,0,0,0,0,0,0,0,0,53,0,10.6,-100
Colorado,Aurora,Eritrea,0,5,3,4,22,8,9,0,5,4,8.8,-54.55
Colorado,Colorado Springs,Burma,10,23,15,9,14,12,11,0,1,0,7.6,-100
Colorado,Aurora,Dem. Rep. Congo,0,0,0,9,0,8,2,4,20,10,6.8,47.06
Colorado,Greeley,Eritrea,5,6,0,1,16,0,1,6,9,11,6.4,71.87
Colorado,Aurora,Ethiopia,0,2,0,5,11,6,8,3,3,0,6.2,-100
Colorado,Colorado Springs,Burundi,0,0,0,0,0,0,9,21,0,0,6,-100
Colorado,Denver,Burundi,9,6,5,0,0,5,20,1,0,0,5.2,-100
Colorado,Colorado Springs,Cuba,21,20,3,12,10,9,6,0,0,0,5,-100
Colorado,Denver,Rwanda,2,12,1,10,5,5,12,0,3,0,5,-100
Colorado,Colorado Springs,Bhutan,61,47,52,39,14,9,1,0,0,0,4.8,-100
Colorado,Denver,Belarus,1,0,0,5,0,0,9,15,0,0,4.8,-100
Colorado,Denver,China,0,1,0,1,6,7,4,1,6,0,4.8,-100
Colorado,Colorado Springs,Central African Republic,0,0,0,0,0,0,0,17,5,3,4.4,-31.82
Colorado,Lakewood,Dem. Rep. Congo,0,0,0,0,0,0,0,0,21,77,4.2,1733.33
Colorado,Denver,Cuba,0,3,0,7,6,11,3,0,0,0,4,-100
Colorado,Lakewood,Iraq,0,6,4,0,4,2,0,5,8,0,3.8,-100
Colorado,Aurora,Somalia,8,4,4,7,2,1,2,4,8,0,3.4,-100
Colorado,Denver,El Salvador,0,0,0,0,0,0,0,2,14,5,3.2,56.25
Colorado,Denver,Tibet,0,0,0,5,15,0,0,1,0,0,3.2,-100
Colorado,Aurora,Ukraine,0,0,0,0,0,0,2,13,0,0,3,-100
Colorado,Denver,Palestine,0,1,14,11,7,0,0,8,0,0,3,-100
Colorado,Denver,Russia,9,6,2,6,0,5,9,0,1,12,3,300
Colorado,Greeley,Ethiopia,0,0,0,0,2,2,4,1,5,0,2.8,-100
Colorado,Denver,Colombia,0,0,0,0,5,0,3,2,3,5,2.6,92.31
Colorado,Fort Morgan,Somalia,5,0,0,2,0,2,1,0,10,0,2.6,-100
Colorado,Colorado Springs,Afghanistan,0,0,0,0,1,1,10,0,0,0,2.4,-100
Colorado,Denver,Moldova,0,4,2,2,0,1,8,3,0,0,2.4,-100
Colorado,Conifer,Dem. Rep. Congo,0,0,0,0,0,0,0,10,0,0,2,-100
Colorado,Thornton,Somalia,0,0,0,0,0,10,0,0,0,0,2,-100
Colorado,Denver,Pakistan,0,0,0,3,0,0,0,0,9,3,1.8,66.67
Colorado,Boulder,Sudan,0,0,0,0,8,0,0,0,0,0,1.6,-100
Colorado,Colorado Springs,Iran,0,4,3,1,4,2,1,0,1,0,1.6,-100
Colorado,Fort Morgan,Eritrea,0,0,0,0,3,1,1,0,3,0,1.6,-100
Colorado,Lakewood,Burma,0,0,2,0,0,0,0,0,8,20,1.6,1150
Colorado,Arvada,Iraq,0,0,0,0,4,0,3,0,0,0,1.4,-100
Colorado,Arvada,Moldova,0,1,0,0,0,7,0,0,0,0,1.4,-100
Colorado,Arvada,Russia,6,1,0,0,0,0,0,0,7,0,1.4,-100
Colorado,Colorado Springs,Eritrea,0,0,0,7,1,4,1,0,1,4,1.4,185.71
Colorado,Golden,Iraq,2,0,0,0,5,0,0,2,0,0,1.4,-100
Colorado,Highlands Ranch,Afghanistan,0,0,0,0,0,0,0,0,7,0,1.4,-100
Colorado,Lakewood,Bhutan,0,0,0,0,0,0,0,0,7,13,1.4,828.57
Colorado,Boulder,Central African Republic,0,0,0,0,0,6,0,0,0,0,1.2,-100
Colorado,Boulder,Iraq,0,2,0,0,2,4,0,0,0,0,1.2,-100
Colorado,Colorado Springs,Rwanda,0,0,0,0,0,3,0,0,3,0,1.2,-100
Colorado,Denver,Congo,3,10,0,0,5,0,1,0,0,0,1.2,-100
Colorado,Greeley,Bhutan,0,0,6,3,0,0,0,0,6,0,1.2,-100
Colorado,Arvada,Ukraine,1,4,0,0,0,4,0,1,0,0,1,-100
Colorado,Colorado Springs,Somalia,0,0,0,1,4,0,0,1,0,0,1,-100
Colorado,Denver,Armenia,0,0,0,0,0,0,0,5,0,0,1,-100
Colorado,Denver,"Korea, North",2,0,2,5,1,0,2,1,1,0,1,-100
Colorado,Denver,Uganda,0,1,0,0,2,0,2,0,1,0,1,-100
Colorado,Edgewater,Iraq,0,5,0,0,5,0,0,0,0,0,1,-100
Colorado,Lakewood,Eritrea,0,0,0,0,0,0,0,0,5,9,1,800
Colorado,Thornton,Syria,0,0,0,0,0,0,0,5,0,0,1,-100
Colorado,Arvada,Burma,0,0,0,1,3,1,0,0,0,0,0.8,-100
Colorado,Aurora,Gambia,0,0,0,0,0,0,0,0,4,0,0.8,-100
Colorado,Aurora,Nepal,0,0,0,1,0,3,1,0,0,0,0.8,-100
Colorado,Colorado Springs,Sudan,0,0,0,0,0,0,0,0,4,0,0.8,-100
Colorado,Commerce City,Ukraine,0,2,0,0,0,0,4,0,0,0,0.8,-100
Colorado,Denver,Sri Lanka (Ceylon),0,3,0,0,2,2,0,0,0,0,0.8,-100
Colorado,Henderson,Afghanistan,0,0,0,0,4,0,0,0,0,0,0.8,-100
Colorado,Lafayette,Burma,0,0,1,1,3,0,0,0,1,0,0.8,-100
Colorado,Lakewood,Sudan,0,0,0,4,0,3,0,0,1,0,0.8,-100
Colorado,Boulder,Republic of South Sudan,0,0,0,0,0,0,0,3,0,0,0.6,-100
Colorado,Centennial,Eritrea,0,0,0,0,0,0,3,0,0,0,0.6,-100
Colorado,Colorado Springs,Colombia,0,0,0,0,0,0,0,0,3,0,0.6,-100
Colorado,Colorado Springs,Ethiopia,0,0,0,0,0,0,0,3,0,5,0.6,733.33
Colorado,Colorado Springs,Pakistan,0,0,0,0,0,0,0,3,0,0,0.6,-100
Colorado,Colorado Springs,Ukraine,0,0,0,0,0,0,0,0,3,0,0.6,-100
Colorado,Denver,Bangladesh,0,0,0,0,0,2,0,0,1,2,0.6,233.33
Colorado,Denver,Republic of South Sudan,0,0,0,0,0,0,0,3,0,0,0.6,-100
Colorado,El Jebel,El Salvador,0,0,0,0,0,0,0,0,3,0,0.6,-100
Colorado,Greeley,Cuba,0,0,0,0,0,3,0,0,0,0,0.6,-100
Colorado,Greeley,Dem. Rep. Congo,0,10,0,0,0,0,0,0,3,20,0.6,3233.33
Colorado,Snowmass,El Salvador,0,0,0,0,0,0,0,0,3,0,0.6,-100
Colorado,Thornton,Eritrea,0,0,0,0,0,0,3,0,0,0,0.6,-100
Colorado,Aurora,Iran,0,0,0,5,0,0,2,0,0,0,0.4,-100
Colorado,Aurora,Rwanda,0,1,0,0,0,0,0,2,0,1,0.4,150
Colorado,Denver,Cameroon,0,0,0,0,0,0,0,1,1,2,0.4,400
Colorado,Denver,Egypt,1,0,0,0,2,0,0,0,0,0,0.4,-100
Colorado,Denver,Honduras,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Denver,Kazakhstan,0,0,0,0,0,0,2,0,0,0,0.4,-100
Colorado,Fort Morgan,Ethiopia,0,0,0,0,0,0,0,1,1,0,0.4,-100
Colorado,Glendale,Eritrea,0,1,0,0,0,2,0,0,0,0,0.4,-100
Colorado,Glenwood Springs,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Colorado,Grand Junction,Burma,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Greeley,Bangladesh,0,0,0,0,0,0,0,0,2,0,0.4,-100
Colorado,Greeley,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Colorado,Greeley,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Greeley,Kenya,0,0,0,0,0,1,0,0,1,0,0.4,-100
Colorado,Henderson,Ukraine,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Lakewood,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Westminster,Iran,0,0,0,0,0,2,0,0,0,0,0.4,-100
Colorado,Aurora,Georgia,0,0,0,0,0,0,0,1,0,0,0.2,-100
Colorado,Aurora,Senegal,0,0,0,0,0,0,0,1,0,0,0.2,-100
Colorado,Boulder,Burma,5,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Broomfield,Iran,0,0,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Colorado Springs,Russia,0,0,5,0,0,0,0,1,0,0,0.2,-100
Colorado,Colorado Springs,Sri Lanka (Ceylon),0,0,0,0,0,0,1,0,0,0,0.2,-100
Colorado,Colorado Springs,Syria,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Denver,Canada,0,0,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Denver,Guatemala,0,0,0,0,0,0,0,0,1,0,0.2,-100
Colorado,Denver,Liberia,0,1,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Denver,Libya,0,0,1,0,1,0,0,0,0,0,0.2,-100
Colorado,Denver,Mali,0,0,0,0,0,0,0,0,1,0,0.2,-100
Colorado,Denver,Saudi Arabia,0,0,0,0,0,0,1,0,0,0,0.2,-100
Colorado,Denver,Senegal,0,0,0,2,0,0,1,0,0,0,0.2,-100
Colorado,Denver,Zimbabwe,0,5,0,0,0,0,1,0,0,1,0.2,400
Colorado,Englewood,Iran,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Fort Collins,Iraq,6,3,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Fort Morgan,Congo,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Greeley,Uganda,0,0,0,0,0,0,1,0,0,0,0.2,-100
Colorado,Lakewood,Cuba,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Lakewood,Ukraine,0,0,0,0,0,0,0,1,0,0,0.2,-100
Colorado,Lakewood,Yemen,0,0,0,0,0,0,0,0,1,0,0.2,-100
Colorado,Littleton,Burma,0,6,4,0,1,0,0,0,0,0,0.2,-100
Colorado,Thornton,Burma,4,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Thornton,Iraq,3,0,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Westminster,Iraq,0,0,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Westminster,Ukraine,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Aurora,Sri Lanka (Ceylon),0,0,2,4,0,0,0,0,0,0,0,
Colorado,Aurora,Sudan,0,3,0,5,0,0,0,0,0,0,0,
Colorado,Aurora,Vietnam,4,0,0,0,0,0,0,0,0,0,0,
Colorado,Broomfield,Vietnam,4,3,0,0,0,0,0,0,0,0,0,
Colorado,Brush,Somalia,0,0,4,0,0,0,0,0,0,0,0,
Colorado,Centennial,Iran,6,1,0,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Congo,0,0,3,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Gabon,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Ghana,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Kazakhstan,0,0,5,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Liberia,1,0,3,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Sierra Leone,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Commerce City,Afghanistan,0,1,0,0,0,0,0,0,0,0,0,
Colorado,Commerce City,Liberia,4,0,0,0,0,0,0,0,0,0,0,
Colorado,Commerce City,Russia,5,0,0,0,0,0,0,0,0,0,0,
Colorado,Denver,Chad,0,0,0,3,0,0,0,0,0,0,0,
Colorado,Denver,Gambia,0,1,0,0,0,0,0,0,0,0,0,
Colorado,Denver,Ivory Coast,2,0,0,2,0,0,0,0,0,0,0,
Colorado,Denver,Mauritania,5,14,3,0,0,0,0,0,0,0,0,
Colorado,Denver,Sierra Leone,0,1,0,0,0,0,0,0,0,0,0,
Colorado,Denver,Turkmenistan,3,0,0,0,0,0,0,0,0,0,0,
Colorado,Denver,Uzbekistan,6,0,2,0,0,0,0,0,0,0,0,
Colorado,Denver,Vietnam,18,11,0,0,0,0,0,0,0,0,0,
Colorado,Eagle,Iraq,2,1,0,0,0,0,0,0,0,0,0,
Colorado,Englewood,Bhutan,0,7,0,0,0,0,0,0,0,0,0,
Colorado,Englewood,Iraq,7,8,1,0,0,0,0,0,0,0,0,
Colorado,Englewood,Somalia,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Erie,Eritrea,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Fort Morgan,Central African Republic,0,2,0,0,0,0,0,0,0,0,0,
Colorado,Fort Morgan,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,1,0,
Colorado,Glendale,Bhutan,0,0,3,0,0,0,0,0,0,0,0,
Colorado,Glendale,Iraq,0,0,0,1,0,0,0,0,0,0,0,
Colorado,Glendale,Liberia,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Golden,Iran,0,0,0,0,0,0,0,0,0,1,0,
Colorado,Greeley,Burundi,0,0,6,0,0,0,0,0,0,0,0,
Colorado,Greeley,Sudan,0,0,0,3,0,0,0,0,0,0,0,
Colorado,Greenwood Village,Iraq,8,0,0,0,0,0,0,0,0,0,0,
Colorado,Holyoke,Cuba,0,2,0,0,0,0,0,0,0,0,0,
Colorado,Indian Hills,Burma,4,0,0,0,0,0,0,0,0,0,0,
Colorado,Lakewood,Afghanistan,0,0,0,0,0,0,0,0,0,6,0,
Colorado,Lakewood,Central African Republic,0,0,0,0,0,0,0,0,0,4,0,
Colorado,Lakewood,Senegal,0,0,0,0,0,0,0,0,0,2,0,
Colorado,Lakewood,Uganda,0,0,0,0,0,0,0,0,0,3,0,
Colorado,Longmont,Iraq,0,1,0,0,0,0,0,0,0,0,0,
Colorado,Northglenn,Burma,8,0,1,2,0,0,0,0,0,0,0,
Colorado,Northglenn,Ukraine,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Pueblo,Iraq,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Superior,Bhutan,10,0,0,0,0,0,0,0,0,0,0,
Colorado,Thornton,Afghanistan,0,2,0,0,0,0,0,0,0,0,0,
Colorado,Thornton,Iran,4,0,0,0,0,0,0,0,0,0,0,
Colorado,Westminster,Moldova,13,0,0,0,0,0,0,0,0,0,0,
Colorado,Westminster,Vietnam,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Wheat Ridge,Eritrea,0,1,0,0,0,0,0,0,0,0,0,
Colorado,,Burma,0,0,0,0,0,0,0,0,0,6,0,