state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average,total_population,foreign_born_est_prop,l1_africa,l1_americas,l1_asia,l1_europe,l1_oceania,l2_africa_eastern_africa,l2_africa_middle_africa,l2_africa_northern_africa,l2_africa_southern_africa,l2_africa_western_africa,l2_americas_latin_america,l2_americas_northern_america,l2_asia_eastern_asia,l2_asia_south_central_asia,l2_asia_south_eastern_asia,l2_asia_western_asia,l2_europe_eastern_europe,l2_europe_northern_europe,l2_europe_southern_europe,l2_europe_western_europe,l2_oceania_australia_nzealand_subregion,origin_prop
Colorado,Denver,Burma,371,358,381,249,299,274,368,247,62,24,250,-90.4,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.518942328
Colorado,Denver,Iraq,179,222,53,127,234,290,186,171,69,1,190,-99.47,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.724279221
Colorado,Denver,Somalia,182,156,77,79,238,228,117,64,113,6,152,-96.05,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.347206018
Colorado,Denver,Bhutan,463,445,462,339,174,151,146,146,64,11,136.2,-91.92,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,
Colorado,Denver,Dem. Rep. Congo,24,219,36,54,70,141,177,121,116,42,125,-66.4,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,
Colorado,Greeley,Burma,0,17,35,37,76,93,143,182,77,62,114.2,-45.71,100760,11.21,5.824555192,80.80021245,9.604319731,3.673541648,0.097370983,4.310878994,0,0.079667168,0.699300699,0.300964858,79.68487209,1.115340356,1.611047181,2.257236434,4.576436222,0.849783128,1.256970877,1.115340356,0.433743472,0.867486943,0.097370983,0.902894574
Colorado,Aurora,Burma,16,12,59,83,86,67,83,72,24,1,66.4,-98.49,357323,19.83,12.82970406,54.78062067,24.62778193,7.133885604,0.628007734,5.979480377,1.010457387,0.824171947,0.1693504,3.584583469,53.7969771,0.983643574,5.818597496,6.48894283,9.791275632,2.410420695,4.398876642,1.147348961,0.187696693,1.399963307,0.184874187,1.294119307
Colorado,Denver,Eritrea,65,96,94,28,68,66,26,53,50,34,52.6,-35.36,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.279071504
Colorado,Greeley,Somalia,22,9,21,29,30,46,51,70,22,0,43.8,-100,100760,11.21,5.824555192,80.80021245,9.604319731,3.673541648,0.097370983,4.310878994,0,0.079667168,0.699300699,0.300964858,79.68487209,1.115340356,1.611047181,2.257236434,4.576436222,0.849783128,1.256970877,1.115340356,0.433743472,0.867486943,0.097370983,1.310082323
Colorado,Colorado Springs,Iraq,16,18,11,14,41,60,64,23,17,3,41,-92.68,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,0.198494993
Colorado,Aurora,Bhutan,54,66,69,159,70,65,34,24,3,7,39.2,-82.14,357323,19.83,12.82970406,54.78062067,24.62778193,7.133885604,0.628007734,5.979480377,1.010457387,0.824171947,0.1693504,3.584583469,53.7969771,0.983643574,5.818597496,6.48894283,9.791275632,2.410420695,4.398876642,1.147348961,0.187696693,1.399963307,0.184874187,
Colorado,Denver,Syria,0,0,0,0,3,0,5,115,69,0,38.4,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0
Colorado,Denver,Ethiopia,34,43,44,27,52,42,16,27,14,10,30.2,-66.89,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,2.509776836
Colorado,Denver,Sudan,13,15,13,18,51,42,18,6,1,0,23.6,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.622544124
Colorado,Denver,Ukraine,2,1,7,0,7,5,38,26,27,8,20.6,-61.17,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.421873979
Colorado,Colorado Springs,Dem. Rep. Congo,0,6,0,0,3,3,21,52,22,27,20.2,33.66,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,
Colorado,Denver,Afghanistan,1,1,1,0,9,9,18,14,42,14,18.4,-23.91,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.176403058
Colorado,Aurora,Iraq,3,4,0,1,9,33,30,8,8,0,17.6,-100,357323,19.83,12.82970406,54.78062067,24.62778193,7.133885604,0.628007734,5.979480377,1.010457387,0.824171947,0.1693504,3.584583469,53.7969771,0.983643574,5.818597496,6.48894283,9.791275632,2.410420695,4.398876642,1.147348961,0.187696693,1.399963307,0.184874187,0.814293174
Colorado,Denver,Central African Republic,0,0,14,14,22,0,14,48,2,6,17.2,-65.12,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,
Colorado,Denver,Iran,3,11,11,6,18,7,5,15,15,0,12,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.864281648
Colorado,Greeley,Iraq,0,5,7,5,23,29,5,1,0,0,11.6,-100,100760,11.21,5.824555192,80.80021245,9.604319731,3.673541648,0.097370983,4.310878994,0,0.079667168,0.699300699,0.300964858,79.68487209,1.115340356,1.611047181,2.257236434,4.576436222,0.849783128,1.256970877,1.115340356,0.433743472,0.867486943,0.097370983,0
Colorado,Lakewood,Somalia,0,0,0,0,1,0,0,0,55,0,11.2,-100,151411,9.14,2.933102153,52.92587776,25.78384626,17.63473486,0.722438954,0.534604826,1.09810721,0.288975582,0.960843809,0.050570727,51.22092183,1.704955931,7.072677359,5.598901893,11.15445745,1.957809565,7.975726051,4.255165439,1.57491692,3.828926456,0.722438954,0.180609738
Colorado,Lakewood,Syria,0,0,0,0,0,0,0,0,53,0,10.6,-100,151411,9.14,2.933102153,52.92587776,25.78384626,17.63473486,0.722438954,0.534604826,1.09810721,0.288975582,0.960843809,0.050570727,51.22092183,1.704955931,7.072677359,5.598901893,11.15445745,1.957809565,7.975726051,4.255165439,1.57491692,3.828926456,0.722438954,0
Colorado,Aurora,Eritrea,0,5,3,4,22,8,9,0,5,4,8.8,-54.55,357323,19.83,12.82970406,54.78062067,24.62778193,7.133885604,0.628007734,5.979480377,1.010457387,0.824171947,0.1693504,3.584583469,53.7969771,0.983643574,5.818597496,6.48894283,9.791275632,2.410420695,4.398876642,1.147348961,0.187696693,1.399963307,0.184874187,0.121367787
Colorado,Colorado Springs,Burma,10,23,15,9,14,12,11,0,1,0,7.6,-100,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,0.127392309
Colorado,Aurora,Dem. Rep. Congo,0,0,0,9,0,8,2,4,20,10,6.8,47.06,357323,19.83,12.82970406,54.78062067,24.62778193,7.133885604,0.628007734,5.979480377,1.010457387,0.824171947,0.1693504,3.584583469,53.7969771,0.983643574,5.818597496,6.48894283,9.791275632,2.410420695,4.398876642,1.147348961,0.187696693,1.399963307,0.184874187,
Colorado,Greeley,Eritrea,5,6,0,1,16,0,1,6,9,11,6.4,71.87,100760,11.21,5.824555192,80.80021245,9.604319731,3.673541648,0.097370983,4.310878994,0,0.079667168,0.699300699,0.300964858,79.68487209,1.115340356,1.611047181,2.257236434,4.576436222,0.849783128,1.256970877,1.115340356,0.433743472,0.867486943,0.097370983,1.50482429
Colorado,Aurora,Ethiopia,0,2,0,5,11,6,8,3,3,0,6.2,-100,357323,19.83,12.82970406,54.78062067,24.62778193,7.133885604,0.628007734,5.979480377,1.010457387,0.824171947,0.1693504,3.584583469,53.7969771,0.983643574,5.818597496,6.48894283,9.791275632,2.410420695,4.398876642,1.147348961,0.187696693,1.399963307,0.184874187,4.322668962
Colorado,Colorado Springs,Burundi,0,0,0,0,0,0,9,21,0,0,6,-100,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,
Colorado,Denver,Burundi,9,6,5,0,0,5,20,1,0,0,5.2,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,
Colorado,Colorado Springs,Cuba,21,20,3,12,10,9,6,0,0,0,5,-100,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,1.128755111
Colorado,Denver,Rwanda,2,12,1,10,5,5,12,0,3,0,5,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,
Colorado,Colorado Springs,Bhutan,61,47,52,39,14,9,1,0,0,0,4.8,-100,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,
Colorado,Denver,Belarus,1,0,0,5,0,0,9,15,0,0,4.8,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.440540969
Colorado,Denver,China,0,1,0,1,6,7,4,1,6,0,4.8,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,2.933517514
Colorado,Colorado Springs,Central African Republic,0,0,0,0,0,0,0,17,5,3,4.4,-31.82,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,
Colorado,Lakewood,Dem. Rep. Congo,0,0,0,0,0,0,0,0,21,77,4.2,1733.33,151411,9.14,2.933102153,52.92587776,25.78384626,17.63473486,0.722438954,0.534604826,1.09810721,0.288975582,0.960843809,0.050570727,51.22092183,1.704955931,7.072677359,5.598901893,11.15445745,1.957809565,7.975726051,4.255165439,1.57491692,3.828926456,0.722438954,
Colorado,Denver,Cuba,0,3,0,7,6,11,3,0,0,0,4,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.361206261
Colorado,Lakewood,Iraq,0,6,4,0,4,2,0,5,8,0,3.8,-100,151411,9.14,2.933102153,52.92587776,25.78384626,17.63473486,0.722438954,0.534604826,1.09810721,0.288975582,0.960843809,0.050570727,51.22092183,1.704955931,7.072677359,5.598901893,11.15445745,1.957809565,7.975726051,4.255165439,1.57491692,3.828926456,0.722438954,0.484034099
Colorado,Aurora,Somalia,8,4,4,7,2,1,2,4,8,0,3.4,-100,357323,19.83,12.82970406,54.78062067,24.62778193,7.133885604,0.628007734,5.979480377,1.010457387,0.824171947,0.1693504,3.584583469,53.7969771,0.983643574,5.818597496,6.48894283,9.791275632,2.410420695,4.398876642,1.147348961,0.187696693,1.399963307,0.184874187,0.674579094
Colorado,Denver,El Salvador,0,0,0,0,0,0,0,2,14,5,3.2,56.25,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,1.754697081
Colorado,Denver,Tibet,0,0,0,5,15,0,0,1,0,0,3.2,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,
Colorado,Aurora,Ukraine,0,0,0,0,0,0,2,13,0,0,3,-100,357323,19.83,12.82970406,54.78062067,24.62778193,7.133885604,0.628007734,5.979480377,1.010457387,0.824171947,0.1693504,3.584583469,53.7969771,0.983643574,5.818597496,6.48894283,9.791275632,2.410420695,4.398876642,1.147348961,0.187696693,1.399963307,0.184874187,1.021747414
Colorado,Denver,Palestine,0,1,14,11,7,0,0,8,0,0,3,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,
Colorado,Denver,Russia,9,6,2,6,0,5,9,0,1,12,3,300,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.923082667
Colorado,Greeley,Ethiopia,0,0,0,0,2,2,4,1,5,0,2.8,-100,100760,11.21,5.824555192,80.80021245,9.604319731,3.673541648,0.097370983,4.310878994,0,0.079667168,0.699300699,0.300964858,79.68487209,1.115340356,1.611047181,2.257236434,4.576436222,0.849783128,1.256970877,1.115340356,0.433743472,0.867486943,0.097370983,1.469416659
Colorado,Denver,Colombia,0,0,0,0,5,0,3,2,3,5,2.6,92.31,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.614143978
Colorado,Fort Morgan,Somalia,5,0,0,2,0,2,1,0,10,0,2.6,-100,11251,19.76,20.51282051,73.86414755,3.553756185,2.069275753,0,20.51282051,0,0,0,0,73.86414755,0,2.159244265,0,1.394511921,0,2.069275753,0,0,0,0,13.13540261
Colorado,Colorado Springs,Afghanistan,0,0,0,0,1,1,10,0,0,0,2.4,-100,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,0.06517746
Colorado,Denver,Moldova,0,4,2,2,0,1,8,3,0,0,2.4,-100,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.058801019
Colorado,Conifer,Dem. Rep. Congo,0,0,0,0,0,0,0,10,0,0,2,-100,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Thornton,Somalia,0,0,0,0,0,10,0,0,0,0,2,-100,132310,12.83,2.180189735,65.0816098,24.18832125,8.231689352,0.318189853,1.066525249,0,0.459607566,0,0.654056921,64.35095162,0.730658182,5.149961699,4.819987037,13.1930941,0.930999941,5.633138884,0.559778446,0.111955689,1.926816334,0.318189853,0
Colorado,Denver,Pakistan,0,0,0,3,0,0,0,0,9,3,1.8,66.67,678467,15.79,8.906021038,62.86668969,19.21206634,8.622282786,0.392940144,4.009669501,0.673878347,1.407491063,0.321072232,2.080436061,61.19506071,1.671628975,5.167956245,4.425010034,7.521863712,2.076702663,3.795932463,2.19710475,0.574943299,2.054302275,0.26787131,0.304271941
Colorado,Boulder,Sudan,0,0,0,0,8,0,0,0,0,0,1.6,-100,106271,11.19,2.194568233,29.20205163,39.00613806,25.94803666,3.649205415,0.319515681,0,0.403598756,0.706297822,0.571764904,23.66938535,5.532666274,19.11208274,10.50197595,4.34709493,4.868409989,6.793912385,7.29841083,2.892457748,8.963255697,3.649205415,0
Colorado,Colorado Springs,Iran,0,4,3,1,4,2,1,0,1,0,1.6,-100,450000,7.5,4.897197369,44.30289743,28.0292706,21.25377733,1.516857261,0.903596611,0.58067192,1.768679268,0.713989453,0.820643479,39.82639095,4.476506488,13.69615453,3.611423831,9.696628548,1.001362801,5.593411151,4.734253718,1.309474433,9.554423179,0.648811993,0.118504474
Colorado,Fort Morgan,Eritrea,0,0,0,0,3,1,1,0,3,0,1.6,-100,11251,19.76,20.51282051,73.86414755,3.553756185,2.069275753,0,20.51282051,0,0,0,0,73.86414755,0,2.159244265,0,1.394511921,0,2.069275753,0,0,0,0,0
Colorado,Lakewood,Burma,0,0,2,0,0,0,0,0,8,20,1.6,1150,151411,9.14,2.933102153,52.92587776,25.78384626,17.63473486,0.722438954,0.534604826,1.09810721,0.288975582,0.960843809,0.050570727,51.22092183,1.704955931,7.072677359,5.598901893,11.15445745,1.957809565,7.975726051,4.255165439,1.57491692,3.828926456,0.722438954,0.15171218
Colorado,Arvada,Iraq,0,0,0,0,4,0,3,0,0,0,1.4,-100,115320,5.25,6.959828071,29.92230121,27.97156555,33.90643082,1.239874359,1.239874359,2.595470326,1.124152753,1.438254257,0.562076376,24.15275252,5.769548686,10.28269135,8.282360721,8.530335593,0.876177881,22.7806249,2.314432138,1.520912548,7.125144652,1.239874359,0
