STATE,COUNTY,TOTAL NUMBER OF UC RELEASED TO SPONSORS IN FY19 (THRU JULY 19)
AL,Franklin County,54
AL,Jefferson County,161
AL,Marshall County,120
AL,Mobile County,57
AL,Montgomery County,57
AL,Morgan County,64
AL,Tuscaloosa County,58
AR,Pulaski County,100
AZ,Maricopa County,419
CA,Alameda County,581
CA,Contra Costa County,253
CA,Fresno County,220
CA,Kern County,102
CA,Los Angeles County,3057
CA,Marin County,193
CA,Monterey County,127
CA,Orange County,297
CA,Riverside County,355
CA,Sacramento County,133
CA,San Bernardino County,200
CA,San Diego County,216
CA,San Francisco County,285
CA,San Joaquin County,112
CA,San Mateo County,342
CA,Santa Barbara County,88
CA,Santa Clara County,297
CA,Ventura County,121
CO,Arapahoe County,154
CO,Denver County,82
CO,El Paso County,67
CO,Weld County,69
CT,Fairfield County,598
CT,Hartford County,65
CT,New Haven County,103
DE,New Castle County,62
DE,Sussex County,257
FL,Broward County,553
FL,Collier County,312
FL,Duval County,277
FL,Hillsborough County,296
FL,Lee County,594
FL,Manatee County,130
FL,Martin County,167
FL,Miami-Dade County,1528
FL,Orange County,435
FL,Palm Beach County,1395
FL,Polk County,74
FL,Seminole County,54
FL,St. Lucie County,91
GA,Chatham County,56
GA,Cherokee County,126
GA,Cobb County,208
GA,DeKalb County,473
GA,Fulton County,81
GA,Gwinnett County,414
GA,Hall County,135
GA,Whitfield County,58
IA,Polk County,65
IA,Sioux County,54
IA,Woodbury County,71
IL,Cook County,351
IL,DuPage County,116
IL,Lake County,87
IN,Allen County,52
IN,Jackson County,68
IN,Marion County,306
KS,Ford County,63
KS,Johnson County,76
KS,Wyandotte County,125
KY,Fayette County,73
KY,Jefferson County,171
KY,Kenton County,69
KY,Warren County,54
LA,East Baton Rouge Parish,310
LA,Jefferson Parish,576
LA,Lafayette Parish,91
LA,Orleans Parish,241
LA,St. Tammany Parish,81
MA,Bristol County,188
MA,Essex County,364
MA,Hampden County,64
MA,Middlesex County,338
MA,Suffolk County,379
MA,Worcester County,108
MD,Anne Arundel County,224
MD,Baltimore city,542
MD,Baltimore County,429
MD,Charles County,57
MD,Frederick County,121
MD,Howard County,115
MD,Montgomery County,1015
MD,Prince George's County,1372
MI,Kent County,94
MI,Wayne County,51
MN,Dakota County,60
MN,Hennepin County,101
MN,Nobles County,118
MN,Ramsey County,57
MO,Jackson County,112
MO,Jasper County,68
MS,Harrison County,64
MS,Scott County,85
NC,Burke County,62
NC,Durham County,196
NC,Forsyth County,59
NC,Guilford County,60
NC,Mecklenburg County,723
NC,New Hanover County,59
NC,Wake County,251
NC,Wayne County,62
NE,Douglas County,216
NE,Hall County,63
NJ,Atlantic County,56
NJ,Bergen County,351
NJ,Camden County,124
NJ,Cumberland County,61
NJ,Essex County,448
NJ,Hudson County,401
NJ,Mercer County,492
NJ,Middlesex County,195
NJ,Monmouth County,101
NJ,Morris County,283
NJ,Ocean County,71
NJ,Passaic County,155
NJ,Somerset County,78
NJ,Union County,698
NV,Clark County,222
NY,Bronx County,371
NY,Dutchess County,68
NY,Kings County,735
NY,Nassau County,951
NY,New York County,65
NY,Orange County,136
NY,Putnam County,54
NY,Queens County,923
NY,Rockland County,305
NY,Suffolk County,1293
NY,Westchester County,344
OH,Butler County,70
OH,Franklin County,200
OH,Hamilton County,332
OH,Stark County,65
OH,Tuscarawas County,93
OK,Oklahoma County,198
OK,Tulsa County,185
OR,Marion County,51
OR,Multnomah County,74
OR,Washington County,68
PA,Allegheny County,57
PA,Bucks County,68
PA,Chester County,100
PA,Delaware County,93
PA,Montgomery County,85
PA,Philadelphia County,391
RI,Providence County,379
SC,Beaufort County,50
SC,Berkeley County,65
SC,Charleston County,92
SC,Greenville County,204
SC,Horry County,85
SC,Lexington County,74
SC,Richland County,64
TN,Davidson County,670
TN,Hamblen County,52
TN,Hamilton County,219
TN,Knox County,135
TN,Putnam County,59
TN,Rutherford County,92
TN,Sevier County,77
TN,Shelby County,305
TX,Bexar County,276
TX,Brazos County,79
TX,Collin County,131
TX,Dallas County,1323
TX,Denton County,120
TX,Fort Bend County,91
TX,Galveston County,114
TX,Harris County,4346
TX,Hidalgo County,56
TX,Jefferson County,73
TX,Montgomery County,161
TX,Tarrant County,305
TX,Travis County,648
UT,Salt Lake County,64
VA,Alexandria city,178
VA,Arlington County,163
VA,Chesapeake city,50
VA,Chesterfield County,198
VA,Culpeper County,80
VA,Fairfax County,1134
VA,Harrisonburg city,68
VA,Henrico County,135
VA,Loudoun County,209
VA,Manassas city,81
VA,Newport News city,58
VA,Norfolk city,84
VA,Prince William County,400
VA,Richmond city,238
VA,Roanoke city,78
VA,Virginia Beach city,53
WA,King County,279
WA,Snohomish County,77